mesto2;Lat;Long
Ljubljana;46,0569465;14,5057515
Piran/Pirano;45,528319;13,5682895
Bled;46,3683266;14,1145798
Kranjska Gora;46,4845293;13,7857145
Brezice;45,9088102;15,5964652
Maribor;46,5546503;15,6458812
Moravske Toplice;46,6856932;16,2224582
Bohinj;46,3005652;13,9427195
Podcetrtek;46,1559752;15,5975783
Izola/Isola;45,5374048;13,6600802
Nova Gorica;45,9549755;13,6493044
Bovec;46,3376387;13,551683
Lasko;46,1542793;15,2359978
Ankaran/Ancarano;45,5791436;13,7362855
Zrece;46,3696591;15,3918526
Ptuj;46,4199535;15,8696884
Koper/Capodistria;45,548059;13,7301877
Radovljica;46,3437361;14,1740042
Sezana;45,7093519;13,8738185
Postojna;45,7749704;14,2133245
Kranj;46,2428344;14,3555417
Kobarid;46,2456971;13,5786949
Radenci;46,6439196;16,0402676
Rogaska Slatina;46,2331941;15,6378802
Lendava/Lendva;46,5644783;16,453063
Novo mesto;45,8010824;15,1710089
Verzej;46,5832778;16,1640173
Sostanj;46,3782836;15,0461378
Cerklje na Gorenjskem;46,2531292;14,4868829
Tolmin;46,1857188;13,7319838
Dobrna;46,3356141;15,2259732
Celje;46,2397495;15,2677063
Dolenjske Toplice;45,7558584;15,0592333
Kamnik;46,2221964;14,6072968
Brda;45,9975652;13,5270474
Smarjeske Toplice;45,8680377;15,2347422
Hrpelje - Kozina;45,6091192;13,9379148
Ljutomer;46,5193583;16,197814
Cerkno;46,128954;13,9891931
Hoce - Slivnica;46,477858;15,6476005
Slovenska Bistrica;46,3919813;15,5727868
Domzale;46,1419417;14,5944171
Murska Sobota;46,6581381;16,1610293
Grosuplje;45,9380023;14,6482663
Divaca;45,6829132;13,9697218
Mislinja;46,4439734;15,1985947
Crnomelj;45,5714837;15,1930773
Ajdovscina;45,8869025;13,909914
Naklo;46,2863018;14,2896233
Slovenj Gradec;46,5075851;15,0768162
Metlika;45,6473994;15,3176752
Rence - Vogrsko;45,9050513;13,690592
Kocevje;45,6409009;14,8633128
Medvode;46,141908;14,4032596
Velenje;46,3622743;15,1106582
Solcava;46,4200935;14,6917325
Ribnica na Pohorju;46,5356145;15,2674538
Ruse;46,5399962;15,5073987
Idrija;46,0029454;14,0278459
Logatec;45,9170819;14,2285582
Dravograd;46,589219;15,0246021
Trebnje;45,9080163;15,0131905
Mozirje;46,3392772;14,9599807
Luce;46,3544925;14,7471504
Gorje;46,3802458;14,0685339
Vrhnika;45,966583;14,2973873
Skofja Loka;46,1671294;14,3058337
Preddvor;46,3017155;14,4216753
Semic;45,6520534;15,1820701
Zalec;46,251984;15,1650282
Kostel;45,4928255;14,8708235
Jezersko;46,3942794;14,4985559
Zirovnica;46,4044239;14,1375549
Selnica ob Dravi;46,5790573;15,4871153
Hajdina;46,4185014;15,8244722
Cerknica;45,7955099;14,3621843
Jesenice;46,4367047;14,0526057
Krsko;45,9589978;15,4921312
Ilirska Bistrica;45,570099;14,2418616
Ljubno;46,3462488;14,8231581
Sencur;46,2433699;14,4192223
Vipava;45,8455744;13,9625431
Trzic;46,3621517;14,3083372
Komen;45,8175235;13,7482711
Ormoz;46,4086282;16,1508154
Prevalje;46,5468788;14,9197479
Gorenja vas - Poljane;46,1116582;14,1149347
Slovenske Konjice;46,3369191;15,4214708
Zagorje ob Savi;46,1345186;14,9945975
Prebold;46,2365972;15,091648
Pivka;45,6789296;14,2542689
Sevnica;46,0129508;15,2979868
Brezovica;45,9559351;14,4349952
Zelezniki;46,22544;14,1692478
Sentjernej;45,843413;15,3378312
Kanal;46,0853803;13,634308
Sentjur;46,218184;15,38742
Skocjan;45,6658039;13,9899793
Gornja Radgona;46,6767099;15,9910846
Kostanjevica na Krki;45,8449724;15,4217164
Crna na Koroskem;46,4703983;14,8498787
Ribnica;45,7400303;14,7265782
Ivancna Gorica;45,9186489;14,7956554
Loska dolina;45,6477908;14,4973147
Ig;45,9588213;14,5282718
Benedikt;46,6155841;15,8957281
Pesnica;46,6088755;15,6757051
Trbovlje;46,1503563;15,0453138
Puconci;46,7046395;16,1572755
Zuzemberk;45,830669;14,9298228
Miren - Kostanjevica;45,8436029;13,6276647
Kungota;46,6418793;15,6036288
Bloke;45,7728141;14,5063459
Vojnik;46,2920581;15,302058
Videm;46,363833;15,8781212
Vransko;46,2444682;14,9511982
Lovrenc na Pohorju;46,5402775;15,3884817
Muta;46,6097366;15,1629994
Gornji Grad;46,2961712;14,8062347
Rogatec;46,2258891;15,7000313
Hrastnik;46,1417288;15,0844894
Smarje pri Jelsah;46,2013945;15,5873836
Bistrica ob Sotli;46,0677976;15,6334948
Gornji Petrovci;46,8047535;16,2180722
Mezica;46,5214145;14,8523952
Nazarje;46,2821741;14,9225629
Ravne na Koroskem;46,5448323;14,9660445
Vitanje;46,3815074;15,2950333
Vuzenica;46,5980836;15,1657237
Apace;46,6975886;15,90981
Beltinci;46,6079153;16,2365127
Braslovce;46,2836192;15,0418321
Cankova;46,718237;16,0197222
Cerkvenjak;46,5554248;15,9365397
Cirkulane;46,3298322;15,9980666
Destrnik;46,4922368;15,8777956
Dobje;46,1370037;15,394129
Dobrova - Polhov Gradec;46,0656056;14,3123503
Dol pri Ljubljani;46,0884386;14,6424792
Gorisnica;46,4120439;16,0131526
Grad;46,7946714;16,0599196
Horjul;46,0225378;14,2986269
Jursinci;46,4898651;15,980923
Komenda;46,2052815;14,5391653
Kuzma;46,8351038;16,08071
Lenart;46,5515015;15,8251259
Litija;46,0592305;14,8266015
Loski Potok;45,6909637;14,5985971
Lukovica;46,1823986;14,7899377
Majsperk;46,3394655;15,7365954
Makole;46,3168697;15,6664126
Menges;46,1659122;14,5719694
Miklavz na Dravskem polju;46,5082628;15,6952065
Mirna;45,9513076;15,0624449
Mirna Pec;45,8594478;15,0830457
Mokronog - Trebelno;45,9088529;15,1596736
Moravce;46,1357218;14,7444352
Odranci;46,5847279;16,2762351
Oplotnica;46,387163;15,4458131
